SAMP_HEIGHT,D13C,LITH,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE,AGE,SEDRATE,NEWH,NEWBH,NEWHC,Udet,UH,nUdet
,,,,,,,,,,,0.612222222,74.775,
,,,,,,,,,,,0.705555556,75,
,,,,,,,,,,,0.417777778,75.175,
,,,,,,,,,,,0.63,75.4,
,,,,,,,,,,,0.705555556,75.6,
,,,,,,,,,,,0.813333333,75.775,
,,,,,,,,,,,0.79,76,
,,,,,,,,,,,0.662222222,76.175,
,,,,,,,,,,,0.482222222,76.4,
,,,,,,,,,,,0.924444444,76.575,
,,,,,,,,,,,0.807777778,76.8,
,,,,,,,,,,,0.806666667,76.875,
,,,,,,,,,,,0.726666667,77,
,,,,,,,,,,,0.953333333,77.15,
,,,,,,,,,,,0.816666667,77.3,
,,,,,,,,,,,1.09,77.4,
,,,,,,,,,,,0.835555556,77.5,
,,,,,,,,,,,0.75,77.6,
,,,,,,,,,,,0.833333333,77.7,
,,,,,,,,,,,0.607777778,77.8,
,,,,,,,,,,,0.453333333,77.975,
,,,,,,,,,,,0.302222222,78.225,
,,,,,,,,,,,0.534444444,78.4,
,,,,,,,,,,,0.485555556,78.625,
,,,,,,,,,,,0.522222222,78.825,
,,,,,,,,,,,0.414444444,79.075,
,,,,,,,,,,,0.412222222,79.225,
,,,,,,,,,,,0.466666667,79.475,
,,,,,,,,,,,0.385555556,79.675,
,,,,,,,,,,,0.4,79.8,
,,,,,,,,,,,0.417777778,80.05,
,,,,,,,,,,,0.517777778,80.225,
,,,,,,,,,,,0.363333333,80.4,
,,,,,,,,,,,0.78,80.575,
,,,,,,,,,,,0.471111111,80.75,
,,,,,,,,,,,0.878888889,80.975,
,,,,,,,,,,,0.724444444,81.2,
,,,,,,,,,,,0.921111111,81.4,
,,,,,,,,,,,0.807777778,81.6,
,,,,,,,,,,,0.415555556,81.8,
,,,,,,,,,,,0.488888889,82.025,
,,,,,,,,,,,0.443333333,82.25,
,,,,,,,,,,,0.475555556,82.425,
,,,,,,,,,,,0.447777778,82.7,
,,,,,,,,,,,0.37,82.925,
,,,,,,,,,,,0.461111111,83.025,
,,,,,,,,,,,0.357777778,83.25,
,,,,,,,,,,,0.456666667,83.4,
,,,,,,,,,,,0.545555556,83.6,
,,,,,,,,,,,0.495555556,83.775,
,,,,,,,,,,,0.281111111,83.975,
,,,,,,,,,,,0.593333333,84.15,
,,,,,,,,,,,0.356666667,84.35,
,,,,,,,,,,,0.566666667,84.525,
,,,,,,,,,,,0.633333333,84.6,
,,,,,,,,,,,0.293333333,84.8,
,,,,,,,,,,,0.596666667,85,
,,,,,,,,,,,0.61,85.2,
,,,,,,,,,,,0.31,85.4,
,,,,,,,,,,,0.696666667,85.6,
,,,,,,,,,,,0.28,85.8,
,,,,,,,,,,,0.676666667,86,
,,,,,,,,,,,0.256666667,86.2,
,,,,,,,,,,,0.483333333,86.2,
,,,,,,,,,,,0.706666667,86.4,
,,,,,,,,,,,0.4,86.6,
,,,,,,,,,,,0.6,86.8,
,,,,,,,,,,,0.93,87,
,,,,,,,,,,,0.26,87.2,
,,,,,,,,,,,0,87.4,
,,,,,,,,,,,0.69,87.6,
,,,,,,,,,,,0.376666667,87.8,
,,,,,,,,,,,0.273333333,88,
,,,,,,,,,,,0.263333333,88.2,
,,,,,,,,,,,0.096666667,88.4,
,,,,,,,,,,,0.376666667,88.6,
,,,,,,,,,,,0.283333333,88.8,
,,,,,,,,,,,0.133333333,89,
,,,,,,,,,,,0.693333333,89.2,
,,,,,,,,,,,0.433333333,89.4,
,,,,,,,,,,,0.086666667,89.6,
,,,,,,,,,,,0.18,89.8,
,,,,,,,,,,,0.35,90,
,,,,,,,,,,,0.223333333,90.2,
,,,,,,,,,,,0.226666667,90.4,
,,,,,,,,,,,0.333333333,90.6,
,,,,,,,,,,,0.003333333,90.8,
,,,,,,,,,,,0.12,91,
,,,,,,,,,,,0.346666667,91.2,
,,,,,,,,,,,0.536666667,91.4,
,,,,,,,,,,,0.476666667,91.6,
,,,,,,,,,,,0.053333333,91.8,
,,,,,,,,,,,0.593333333,92,
,,,,,,,,,,,0.493333333,92.2,
,,,,,,,,,,,0.513333333,92.4,
,,,,,,,,,,,0.573333333,92.6,
,,,,,,,,,,,0.44,92.8,
,,,,,,,,,,,0.63,93,
,,,,,,,,,,,0.456666667,93.2,
,,,,,,,,,,,0.61,93.4,
,,,,,,,,,,,0.363333333,93.6,
,,,,,,,,,,,0.1,93.8,
,,,,,,,,,,,0.35,94,
,,,,,,,,,,,0.44,94.2,
,,,,,,,,,,,0.473333333,94.4,
,,,,,,,,,,,0.31,94.6,
,,,,,,,,,,,0.12,94.8,
,,,,,,,,,,,0.48,95,
,,,,,,,,,,,0.706666667,95.2,
,,,,,,,,,,,0.726666667,95.4,
,,,,,,,,,,,0.193333333,95.6,
,,,,,,,,,,,0.326666667,95.8,
,,,,,,,,,,,0.16,96,
,,,,,,,,,,,0.07,96.2,
,,,,,,,,,,,0.01,96.4,
,,,,,,,,,,,0.41,96.6,
,,,,,,,,,,,0.226666667,96.8,
,,,,,,,,,,,0.29,97,
,,,,,,,,,,,0.22,97.2,
,,,,,,,,,,,0.423333333,97.4,
,,,,,,,,,,,0.286666667,97.6,
,,,,,,,,,,,0.363333333,97.8,
,,,,,,,,,,,0.226666667,98,
,,,,,,,,,,,0.283333333,98.2,
,,,,,,,,,,,0.436666667,98.4,
,,,,,,,,,,,0.423333333,98.6,
,,,,,,,,,,,0.666666667,98.8,
,,,,,,,,,,,0.256666667,99,
,,,,,,,,,,,0.543333333,99.2,
,,,,,,,,,,,0.563333333,99.4,
,,,,,,,,,,,0.406666667,99.6,
,,,,,,,,,,,0.19,99.8,
,,,,,,,,,,,0.566666667,100,
,,,,,,,,,,,0.186666667,100.2,
,,,,,,,,,,,0.39,100.4,
,,,,,,,,,,,0.34,100.6,
,,,,,,,,,,,0.703333333,100.8,
,,,,,,,,,,,0.223333333,101,
,,,,,,,,,,,0.21,101.2,
,,,,,,,,,,,0.43,101.4,
,,,,,,,,,,,0.166666667,101.6,
,,,,,,,,,,,0.143333333,101.8,
,,,,,,,,,,,0.273333333,102,
,,,,,,,,,,,0.333333333,102.2,
,,,,,,,,,,,0.236666667,102.4,
,,,,,,,,,,,0.186666667,102.6,
,,,,,,,,,,,0.096666667,102.8,
,,,,,,,,,,,0.13,103,
,,,,,,,,,,,0.216666667,103.2,
,,,,,,,,,,,0.58,103.4,
,,,,,,,,,,,0.18,103.6,
,,,,,,,,,,,0.34,103.8,
,,,,,,,,,,,0.45,104,
,,,,,,,,,,,0.263333333,104.2,
,,,,,,,,,,,0.26,104.4,
,,,,,,,,,,,0.5,104.6,
,,,,,,,,,,,0.233333333,104.8,
,,,,,,,,,,,0.096666667,105,
,,,,,,,,,,,0.443333333,105.2,
,,,,,,,,,,,0.826666667,105.4,
,,,,,,,,,,,0.38,105.6,
,,,,,,,,,,,0.856666667,105.8,
,,,,,,,,,,,0.34,106,
,,,,,,,,,,,0.37,106.2,
,,,,,,,,,,,0.423333333,106.4,
,,,,,,,,,,,0.236666667,106.6,
,,,,,,,,,,,0.483333333,106.8,
,,,,,,,,,,,0.333333333,107,
,,,,,,,,,,,0.363333333,107.2,
,,,,,,,,,,,0.15,107.4,
,,,,,,,,,,,0.416666667,107.6,
,,,,,,,,,,,0,107.8,
,,,,,,,,,,,0.146666667,108,
,,,,,,,,,,,0.076666667,108.2,
,,,,,,,,,,,0.103333333,108.4,
,,,,,,,,,,,0.37,108.6,
,,,,,,,,,,,0.236666667,108.8,
,,,,,,,,,,,0.25,109,
,,,,,,,,,,,0.193333333,109.2,
,,,,,,,,,,,0.173333333,109.4,
,,,,,,,,,,,0.266666667,109.6,
,,,,,,,,,,,0.173333333,109.8,
,,,,,,,,,,,0.306666667,110,
,,,,,,,,,,,0.333333333,110.2,
,,,,,,,,,,,0.226666667,110.4,
,,,,,,,,,,,0.256666667,110.6,
,,,,,,,,,,,0.46,110.8,
,,,,,,,,,,,0.226666667,111,
,,,,,,,,,,,0.526666667,111.2,
,,,,,,,,,,,0.49,111.4,
,,,,,,,,,,,0.58,111.6,
,,,,,,,,,,,0.076666667,111.8,
,,,,,,,,,,,0.106666667,112,
,,,,,,,,,,,0.453333333,112.2,
,,,,,,,,,,,0.153333333,112.4,
,,,,,,,,,,,0.466666667,112.6,
,,,,,,,,,,,0.19,112.8,
,,,,,,,,,,,0.23,113,
,,,,,,,,,,,0.513333333,113.2,
,,,,,,,,,,,0.413333333,113.4,
,,,,,,,,,,,0.403333333,113.6,
,,,,,,,,,,,0.43,113.8,
,,,,,,,,,,,1.21,114,
,,,,,,,,,,,0.623333333,114.2,
,,,,,,,,,,,0.146666667,114.4,
,,,,,,,,,,,0.236666667,114.6,
,,,,,,,,,,,0.236666667,114.8,
,,,,,,,,,,,0.366666667,115,
,,,,,,,,,,,0.4,115.2,
,,,,,,,,,,,0.563333333,115.4,
,,,,,,,,,,,0.276666667,115.6,
,,,,,,,,,,,0.49,115.8,
,,,,,,,,,,,0.18,116,
,,,,,,,,,,,0.27,116.2,
,,,,,,,,,,,0.636666667,116.4,
,,,,,,,,,,,0.51,116.6,
,,,,,,,,,,,0.543333333,116.8,
,,,,,,,,,,,0.253333333,117,
,,,,,,,,,,,0.04,117.2,
,,,,,,,,,,,0.46,117.4,
,,,,,,,,,,,0.33,117.6,
,,,,,,,,,,,0.456666667,117.8,
,,,,,,,,,,,0.316666667,118,
,,,,,,,,,,,0.21,118.2,
,,,,,,,,,,,0.436666667,118.4,
,,,,,,,,,,,0.776666667,118.6,
,,,,,,,,,,,0.986666667,118.8,
,,,,,,,,,,,0.44,118.9,
,,,,,,,,,,,0.723333333,119,
,,,,,,,,,,,0.49,119.1,
,,,,,,,,,,,0.71,119.2,
,,,,,,,,,,,0.3,119.3,
,,,,,,,,,,,0.83,119.4,
,,,,,,,,,,,0.546666667,119.5,
,,,,,,,,,,,0.46,119.6,
,,,,,,,,,,,0.633333333,119.8,
