THICKNESS,LITHOLOGY,GRAIN_SIZE,COLOR,FEATURES,BEDFORMS,SAMPLE,BIOSTRAT,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOZONE,LITHOZONE,BIOSAMPLE,BIOLAYER,BIOHEIGHT,FIRST_OCCURRENCE,Olleros,SEDRATE,NEWH,NEWBH,NEWHC
0.3,ls,cm,gr3,,,OLL3-19.70,,89,3.102786595,0.056305665,-1.288750996,0.177150763,32.58,5,4,,,,,,,,,
1.7,sh,f,,,,OLL3-19.93,,89,2.98817797,0.093458543,-1.990079628,0.116080457,32.81,5,4,,,,,,,,,
0.09,ls,cm,p,,,OLL3-20.23,,90,2.505403169,0.096759505,-2.524720739,0.142054546,33.11,5,4,,,,,,,,,
0.08,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.38,mu,f,r,lam,,,,,,,,,,,,,,,,,,,,
0.14,lsw,sw,rgr,nod2,,,,,,,,,,,,,,,,,,,,
0.02,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.15,lsw,sw,rgr,,,,,,,,,,,,,,,,,,,,,
0.11,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.17,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.11,ls,mi,rgr,,,,,,,,,,,,,,,,,,,,,
0.19,ls,mi,gr,,,,,,,,,,,,,,,,,,,,,
0.07,sh,f,r,,,,,,,,,,,,,,,,,,,,,
0.18,ls,mi,gr,,,,,,,,,,,,,,,,,,,,,
0.46,sh,f,br,,,,,,,,,,,,,,,,,,,,,
0.15,sh,f,br,,,,,,,,,,,,,,,,,,,,,
0.25,ls,mi,gr2,,,,,,,,,,,,,,,,,,,,,
0.67,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.19,ls,mi,gr1,lam,,,,,,,,,,,,,,,,,,,,
0.13,ls,gs,gr2,,,,,,,,,,,,,,,,,,,,,
0.23,sh,f,g,,,,,,,,,,,,,,,,,,,,,
0.07,ls,mi,gr2,,,,,,,,,,,,,,,,,,,,,
0.29,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.61,ls,breccia,gr2,breccia,,,,,,,,,,,,,,,,,,,,
0.3,ls,cm,gr3,,,,,,,,,,,,,,,,,,,,,
1.7,sh,f,,,,,,,,,,,,,,,,,,,,,,
